jp	en	category	source	note
(various, already translated)	Regenerate 7 / Water of Nile / Kanro Ball / Mayutsuba / Gold Elixir / Angel Hair / Hydro Capsule / Antidote P / Antidote PP / Ox Bezoar / Blue Jill / Stone Makeup	item	et/ET0001.BIN (1306 strings total; sampled first ~60)	Representative sample of already-translated item names + effect descriptions (e.g. "Antidote PP" -> "Stronger version of Antidote P. Cures Poison and Paralysis."). File is essentially 100% translated already; only 4 stray garbled fragments found (likely control-byte artifacts, not real leftover Japanese) at offsets 0029f3, 004bf3, 0050be, 005102.
(already translated)	Soul Blade / Psycho Blast / White Dog's Tongue / Black Dog's Tongue / Makatranda / Tetrazan / Tranzio / Mahorogi	skill	et/ET0004.BIN (369 strings total; sampled)	Representative sample of already-translated skill names. Most entries in this file are skill EFFECT DESCRIPTIONS ("Fire pellet@ - Slight damage to one foe") rather than bare names — the @ symbol appears to be a formatting placeholder. File is effectively fully translated; only 4 stray garbled fragments found, same as ET0001.BIN.
(already translated)	Virtual Dungeon / Hyperspace / Takamagahara Road / Meiji Jinguu / Yomotsu Hirasaka / Olympic Pool 1 / Ghost House 1 / Ghost House 2 / Baelite Base / Takamagahara / Bardo / Mejiro Fudou / Meao Fudou / Meaka Fudou / Meki Fudou / Meguro Fudou / Yasukuni Shrine / Toyama Shelter / Initiation Space / Hirasawa Laboratory / Kishimojin	place	et/ET0010.BIN (full list, already translated)	Complete list of established area/location names. Note real-world-derived names (Meiji Jinguu, Yasukuni Shrine, Kishimojin) are kept as their real Tokyo-area proper nouns, not translated/localized further.
(already translated)	Terminal / Exit / Stairs Up / Stairs Down / Elevator / Chute / Computer Shop / Armoury / Transporter / Pharmacy / Cathedral of Shadows / Hospital / Spring / Healing Point / Armour Shop / Bar / Rag's Shop / Curio Store / Computer Terminal	place	et/ET0101.BIN (full list, already translated)	Complete list of established map-feature/facility labels. "Cathedral of Shadows" (the mainline-SMT fusion chapel name) appearing here is indirect evidence that 合体-related facility naming DOES follow official SMT convention even though the verb itself wasn't found translated as "fuse" in story prose — see the 合体 row above.
バール / バエル	Baal	demon	m/MS0003, MS0020, MS002B, MS0026, MS0067, MS006C.BIN and 35 more; speaker tag バール兵 = "Baal Soldier"; p/_P_NAMES	RESOLVED (2026-09 editorial pass): the Japanese source itself uses BOTH バール and バエル for the same demon lord and his cult - the shipped English already rendered バエル as "Baal" in 51 places and as "Bael" in 32. Unified to "Baal" everywhere (279 occurrences rewritten), including "Lord Baal", "Baal cult", "Baal Soldier", "Baalite", the MS6107/MS6109 cult-fanatic files and the p/_P_NAMES unit-name slot. No "Bael" spelling is retained anywhere.
(n/a, typo)	Baal Soldier	demon	m/MS000D.BIN (2 instances, now fixed); m/MS0061.BIN (1 tag was missing its colon, now fixed)	FIXED (2026-09 editorial pass): the transposed "Baal Solider" is gone; every instance now reads "Baal Soldier", and the speaker tag always carries its colon.
(n/a, typo)	Bartender	misc	m/MS0040.BIN (1 instance, now fixed); correct form used throughout m/MS00B0-MS00B8.BIN	FIXED (2026-09 editorial pass): rewritten to "Bartender".
恐慌	Panic	status	tools/exe_analysis/pairs.txt off 0x63050 (8-byte / 7-char slot table); m/MS7F06.BIN 0:C0, m/MS610C.BIN 9:56	RESOLVED (2026-09 editorial pass): 恐慌 = "Panic". Distinct from 混乱 = "Confusion" (see next row). The text tables already observe this split.
混乱	Confusion	status	tools/exe_analysis/pairs.txt off 0x63078 (same 7-char slot table); m/MS7F06.BIN 0:49, m/MS6000.BIN 12:A1, m/MS6002.BIN 0:49	RESOLVED (2026-09 editorial pass): in the text tables use "Confusion" (verb form "thrown into confusion"). In the exe's fixed-width status table the 7-character cap still applies, so the slot there must be abbreviated "Confus." per the house word-stem+period convention. 恐慌 keeps "Panic".
死	Dead	status	tools/exe_analysis/pairs.txt off 00062fe8	Fixed 8-byte-slot (7 visible chars + null) status table — EVERY row in this block is hard-capped at 7 characters. Do not exceed this length for any status name.
瀕死	Dying	status	tools/exe_analysis/pairs.txt off 00062ff0	Same fixed-width status table.
昏倒	Swoon	status	tools/exe_analysis/pairs.txt off 00062ff8	Same fixed-width status table.
石化	Stone	status	tools/exe_analysis/pairs.txt off 00063000	Same fixed-width status table.
麻痺	Paral.	status	tools/exe_analysis/pairs.txt off 00063008	Same fixed-width status table; abbreviated with a trailing period — this IS the established convention for status names that don't fit in 7 characters unabbreviated (see also Posse., Berse., Suffo., Vamp.).
凍結	Chill	status	tools/exe_analysis/pairs.txt off 00063010	Same fixed-width status table.
憑依	Posse.	status	tools/exe_analysis/pairs.txt off 00063018	Same fixed-width status table; abbreviated ("Possession").
ゾンビ	Zombie	status	tools/exe_analysis/pairs.txt off 00063020	Same fixed-width status table.
呪い	Curse	status	tools/exe_analysis/pairs.txt off 00063028	Same fixed-width status table.
気絶	Faint	status	tools/exe_analysis/pairs.txt off 00063030	Same fixed-width status table.
窒息	Suffo.	status	tools/exe_analysis/pairs.txt off 00063038	Same fixed-width status table; abbreviated ("Suffocation").
禁縛	Bind	status	tools/exe_analysis/pairs.txt off 00063040	Same fixed-width status table.
眠り	Sleep	status	tools/exe_analysis/pairs.txt off 00063048	Same fixed-width status table.
猛毒	Toxic	status	tools/exe_analysis/pairs.txt off 00063058	Same fixed-width status table. Distinct from 毒 ("Poison") below — keep "Toxic" vs "Poison" as the established stronger/weaker distinction.
毒	Poison	status	tools/exe_analysis/pairs.txt off 00063060	Same fixed-width status table.
幻覚	Hallu.	status	tools/exe_analysis/pairs.txt off 00063068	Same fixed-width status table; abbreviated ("Hallucination").
魅了	Charm	status	tools/exe_analysis/pairs.txt off 00063070	Same fixed-width status table.
舞踏	Dance	status	tools/exe_analysis/pairs.txt off 00063080	Same fixed-width status table (forced-dance ailment).
感電	Shock	status	tools/exe_analysis/pairs.txt off 00063088	Same fixed-width status table.
氷結	Freeze	status	tools/exe_analysis/pairs.txt off 00063090	Same fixed-width status table.
炎上	Ignite	status	tools/exe_analysis/pairs.txt off 00063098	Same fixed-width status table.
盲目	Blind	status	tools/exe_analysis/pairs.txt off 000630a0	Same fixed-width status table.
封魔	Sealed	status	tools/exe_analysis/pairs.txt off 000630a8	Same fixed-width status table (magic-sealed ailment).
居眠り	Drowsy	status	tools/exe_analysis/pairs.txt off 000630b0	Same fixed-width status table.
狂戦士	Berse.	status	tools/exe_analysis/pairs.txt off 000630b8	Same fixed-width status table; abbreviated ("Berserk").
ハイ	High	status	tools/exe_analysis/pairs.txt off 000630c0	Same fixed-width status table (intoxication/drug-high ailment, distinct from Drunk/Tipsy).
泥酔	Drunk	status	tools/exe_analysis/pairs.txt off 000630c8	Same fixed-width status table.
ほろ酔	Tipsy	status	tools/exe_analysis/pairs.txt off 000630d0	Same fixed-width status table (lighter degree of Drunk).
幸福	Happy	status	tools/exe_analysis/pairs.txt off 000630d8	Same fixed-width status table.
ｽﾗｲﾑ	Slime	status	tools/exe_analysis/pairs.txt off 000630e0	Same fixed-width status table (turned-to-slime ailment).
吸血	Vamp.	status	tools/exe_analysis/pairs.txt off 000630e8	Same fixed-width status table; abbreviated ("Vampirism"/being drained).
外傷	Wound	status	tools/exe_analysis/pairs.txt off 000630f0	Same fixed-width status table.
直感	INTUIT	stat	tools/exe_analysis/pairs.txt off 00067e54	GURPS-derived stat abbreviation, 6-char fixed field.
精神力	W.POWR	stat	tools/exe_analysis/pairs.txt off 00067e5c	"Will Power" abbreviated.
魔力	MAGIC	stat	tools/exe_analysis/pairs.txt off 00067e64	5-char stat abbreviation.
知力	INTELL	stat	tools/exe_analysis/pairs.txt off 00067e6c	"Intelligence" abbreviated.
加護	DIVINE	stat	tools/exe_analysis/pairs.txt off 00067e74	"Divine (favor/protection)" — GURPS-inspired stat unique to this game.
強さ	STRNGT	stat	tools/exe_analysis/pairs.txt off 00067e7c	"Strength" abbreviated.
体力	VITALI	stat	tools/exe_analysis/pairs.txt off 00067e84	"Vitality" abbreviated.
敏捷性	AGILIT	stat	tools/exe_analysis/pairs.txt off 00067e8c	"Agility" abbreviated.
器用さ	DEXTER	stat	tools/exe_analysis/pairs.txt off 00067e94	"Dexterity" abbreviated.
魅力	CHARM	stat	tools/exe_analysis/pairs.txt off 00067e9c	5-char stat abbreviation. NOTE: distinct system from the status ailment "Charm" (魅了) above — same English word used for both a stat and a status effect; keep context-aware, don't conflate.
命運	LUCK	stat	tools/exe_analysis/pairs.txt off 00067ea4	4-char stat abbreviation.
技能	SKILL	stat	tools/exe_analysis/pairs.txt off 00067eac	Derived stat, 5 chars.
命中	CRITIC	stat	tools/exe_analysis/pairs.txt off 00067eb4	Likely "Critical (hit chance)" — 6-char derived stat.
攻撃	ATTACK	stat	tools/exe_analysis/pairs.txt off 00067ebc	Derived combat stat.
回避	EVADE	stat	tools/exe_analysis/pairs.txt off 00067ec4	Derived combat stat.
防御	DEFENC	stat	tools/exe_analysis/pairs.txt off 00067ecc	"Defence" abbreviated to 6 chars.
弾数	BULLETS	stat	tools/exe_analysis/pairs.txt off 00067ed4	7-char field — the one row in this cluster NOT abbreviated (fits exactly).
仲魔 %5d／%2d	Demon%5d／%2d	ui-term	tools/exe_analysis/pairs.txt off 00068054	Party roster HUD counter string. Format specifiers %5d/%2d must stay in the same order/position.
所持アイテム %1d/8	Items %1d/8	ui-term	tools/exe_analysis/pairs.txt off 00068140	Inventory counter; preserve %1d.
%sを会得した！	Learned %s!	ui-term	tools/exe_analysis/pairs.txt off 000666ac	Skill-learned notification; preserve %s position (it substitutes the skill name).
%sはレベルが上がった	%s levelled up	ui-term	tools/exe_analysis/pairs.txt off 00066700	Level-up notification; preserve %s.
CALL / RETURN / PURGE	CALL / RETURN / PURGE	ui-term	tools/exe_analysis/english_inventory.md off 0006668c-0006669c	DDS demon-management submenu commands (call a demon / return it / purge it). Already established, keep verbatim if extending this menu.
CP %11d	CP %11d	ui-term	tools/exe_analysis/english_inventory.md off 00068064	Appears in the party status readout right after the "Demon" (仲魔) count: "...仲魔 %5d／%2d...CP %11d...". Meaning of "CP" is NOT confirmed from available sources (candidates: Combat Points, Command Points) — flag for in-game verification before using in new text; do not guess an expansion.
態度   %s	Attitude   %s (proposed layout; JP label itself still untranslated)	ui-term	tools/exe_analysis/pairs.txt / sjis_inventory.md off 0006691c (UNTOUCHED)	Analyze-window label preceding the negotiation attitude word. NOT part of the fixed-width 7-char status table — these are ordinary consecutive null-terminated strings with looser (though unverified) length limits. Still recommend keeping the attitude word itself short to match the compact HUD aesthetic.
状態   %s	Status   %s (proposed; JP label itself still untranslated)	ui-term	sjis_inventory.md off 00066928 (UNTOUCHED)	Analyze-window label preceding the active status-ailment word.
哀願的	Pleading	negotiation-verb	sjis_inventory.md off 00066858 (UNTOUCHED — confirmed absent from tools/exe_analysis/pairs.txt, i.e. genuinely untranslated)	PROPOSED (not existing translation). Negotiation attitude word (demon "pleading" disposition). Roomier context (態度 %s line): "Pleading". If a hard-capped context is later confirmed, a 7-char fallback like "Meek" may be needed — but no evidence this field is actually length-limited (see ui-term row above), so prefer the fuller word unless proven otherwise.
友好的	Friendly	negotiation-verb	sjis_inventory.md off 00066860 (UNTOUCHED); also appears in tools/dumps/negotiation_MS6xxx.txt as the top-level "Friendly" attitude-menu choice (MS6000, MS6005, MS6200)	PROPOSED for the attitude-word display AND for the top-level negotiation menu choice (dual use of the same word in two different UI contexts — keep both "Friendly" for consistency).
超敵対的	Very Hostile	negotiation-verb	sjis_inventory.md off 00066868 (UNTOUCHED)	PROPOSED. Negotiation attitude word, extreme end. Avoid a plain truncation of "Hostile" (e.g. "Hostile+") since it would be visually indistinguishable from 敵対的 at a glance — a separate word is clearer if space is tight (e.g. "Enraged").
敵対的	Hostile	negotiation-verb	sjis_inventory.md off 00066874 (UNTOUCHED)	PROPOSED. Negotiation attitude word.
通常	Normal	negotiation-verb	sjis_inventory.md off 0006687c (UNTOUCHED)	PROPOSED. Negotiation attitude word (neutral/default disposition).
友好的	Friendly	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt (top-level menu "友好的威圧的" in MS6000, MS6005, MS6200); tools/dumps/untranslated_choices.txt	PROPOSED. Top-level "how will you speak to them?" menu choice.
威圧的	Intimidating	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt (same top-level menu, paired with 友好的)	PROPOSED. Top-level menu choice, the aggressive branch.
仲魔になれ	Recruit	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6001-MS6005, MS610A; tools/dumps/untranslated_choices.txt (many)	PROPOSED. Sub-menu under Friendly ("仲魔になれ / 何かくれ / 去れ").
何かくれ	Give Me Something	negotiation-verb	same contexts as 仲魔になれ	PROPOSED (alternate shorter phrasing: "Ask for Item" if 16-char budget is tight in a given menu).
去れ	Leave	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6001-MS6005, MS610A, MS6103	PROPOSED. Sub-menu under Friendly, dismiss the demon.
怒る	Get Angry	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000 raw ("怒る威嚇射撃攻撃")	PROPOSED. Sub-menu under Intimidating.
威嚇射撃	Warning Shot	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000, MS6003, MS6004, MS6005, MS6109, MS6200	PROPOSED. Sub-menu under Intimidating.
