P2000  Souma Yukihito
P20C7  Pixie
P20C8  Will-o'-wisp
P20C9  Yggdrasil
P20CA  Alraune
P20CB  Dryad
P20CC  Gypsy Rose
P20CD  Bluebell
P20CE  Primrose
P20CF  Lamashtu
P20D0  Rangda
P20D1  Dakini
P20D2  Gorgon
P20D3  Medusa
P20D4  Lamia
P20D5  Yomotsu Shikome
P20D6  Yaksha
P20D7  Yaksini
P20D8  Bhuta Damara
P20D9  Spartoi
P20DA  Gohou Douji
P20DB  Yomotsu Ikusa
P20DC  Shuten Douji
P20DD  Purski
P20DE  Akuro Ou
P20DF  Nurikabe
P20E0  Kwancha
P20E1  Bogey
P20E2  Giant
P20E3  Silenus
P20E4  Leshy
P20E5  Tsuchigumo
P20E6  Dwarf
P20E7  Faun
P20E8  Saturnus
P20E9  Kobold
P20EA  Domovoi
P20EB  Knocker
P20EC  Brownie
P20ED  Adonis
P20EE  Student Akira
P20EF  Student Hiroko
P20F0  Student Yoshio
P20F1  Student Miki
P20F2  Vampire
P20F3  Adonis
P20F4  Adonis
P20F5  Adonis
P20F6  Demonic Pieta
P20F7  Innsmouth
P20F8  Alice
P20F9  March Hare
P20FA  Trump Soldier
P20FB  Alraune
P20FC  Werewolf
P20FD  Werewolf
P20FE  Werecat
P20FF  Weredog
P2100  Guardian
P2101  Sistrum
P2102  Curare
P2103  Tarantella
P2104  Baal Soldier
P2105  Death Rider
P2106  Cranky
P2107  Interipelli
P2108  Highway Star
P2109  Punks
P210A  Junkie
P210B  Lieutenant
P210C  Sergeant
P210D  Resistance
P210E  Darkness
P210F  Black Ooze
P2110  Golden Slime
P2111  Fog
P2112  Splatter
P2113  Critter
P2114  Plasma Ball
P2115  Crap Slime
P2116  Slime
P2117  Doppelganger
P2118  Christine
P2119  Bone Golem
P211A  T93-β
P211B  T92-β
P211C  T93-α
P211D  T92-α
P211E  High Ball
P211F  Gate Robot
P2120  Bit Ball
P2121  Eye Ball
P2122  Legion
P2123  Phantom
P2124  Pisaca
P2125  Larvae
P2126  Shikijo Innen Re
P2127  Lemur
P2128  Entity
P2129  Takuroubi
P212A  Jibaku Rei
P212B  Fuyuu Rei
P212C  Onibi
P212D  Poltergeist
P212E  Stomper
P212F  Corpses
P2130  Battalion
P2131  Zombie Mix
P2132  Bodyconian
P2133  Mommy Dead
P2134  Crispy Dead
P2135  She Zombie
P2136  Zombie
P2137  Dead Woman
P2138  Dead Man
P2139  Nosferatu
P213A  Ghoulette
P213B  Maneater
P213C  Vetala
P213D  Nightstalker
P213E  Hakuma-Bhuta
P213F  Kaluyaka
P2140  Skeleton
P2141  Ririyaka
P2142  Gaki
P2143  Girimehkala
P2144  Rakshasa
P2145  Wendigo
P2146  Gyuuki
P2147  Ogre
P2148  Lakhe
P2149  Ama-no-Sakugami
P214A  Orc Chief
P214B  Redcap
P214C  Barbegazi
P214D  Orc
P214E  Gremlin
P214F  Dark Willow
P2150  Mandragora
P2151  Behemoth
P2152  Humbaba
P2153  Manticore
P2154  Nalagiri
P2155  Garm
P2156  Nue
P2157  Hell Hound
P2158  Apep
P2159  Phantacat
P215A  Bogey Dog
P215B  Gurr Yaksha
P215C  Moruto
P215D  Atropos
P215E  Lachesis
P215F  Clotho
P2160  Furiae
P2161  Upyr
P2162  Chonchon
P2163  Ladon
P2164  Basilisk
P2165  Python
P2166  Cockatrice
P2167  Wyvern
P2168  Jabberwocky
P2169  Wyrm
P216A  Worm
P216B  Ikazuchi
P216C  Abaddons
P216D  Beelzebub's Swar
P216E  Shikigami
P216F  Imp
P2170  Nasu Flies
P2171  Familiar
P2172  Murmur
P2173  Murmur
P2174  Dantalion Ⅲ
P2175  オセ
P2176  Allocen
P2177  Dantalion Ⅱ
P2178  Aym
P2179  Bune
P217A  Ipos
P217B  Berith
P217C  Botis
P217D  Sabnock
P217E  Sytry
P217F  Marbas
P2180  Halphas
P2181  Dantalion
P2182  Andras
P2183  Gamigin
P2184  Raum
P2185  Malphas
P2186  Poison Dragon
P2187  Fire Dragon
P2188  Sky Dragon
P2189  Earth Dragon
P218A  Orobas
P218B  Andras
P218C  Freezer
P218D  Lycanthrope
P218E  Lion Head
P218F  Hell Dog
P2190  Undead
P2191  Bogeyman
P2192  Evil Spirit
P2193  Minor Devil
P2194  Messenger
P2195  Cthugha
P2196  Azathoth
P2197  Moloch
P2198  Ithaqua
P2199  Baal
P219A  Astarte
P219B  Belphegor
P219C  Belberith
P219D  Bael
P219E  Baalzephon
P219F  Ishtar
P21A0  Asherah
P21A1  Morax
P21A2  Haagenti
P21A3  Vepar
P21A4  Vepar
P21A5  Decarabia
P21A6  Abaddon
P21A7  Leraje
P21A8  Lamashtu
P21A9  Ose
P21AA  Aym
P21AB  Ipos
P21AC  Astarte
P21AD  Goat of Fertilit
P21AE  Dog of Full Moon
P21AF  Dog of New Moon
