# et/ET0004.BIN -- rebuilt by `python -m giten etdb`
# Edit the en_* cells.  Leave one empty to keep the Japanese.
# index	jp_name	en_name	jp_desc	en_desc	status	note
41	マハジオンガ	Maha Zionga	全体に及ぶ強い落雷＠によって、敵を襲撃する	A strong lightning strike＠ falls upon every foe	draft	
42	ブフ	Bufu	弱い冷気＠で、敵１体の体表の温度を急激に奪う	A weak chill＠ tears the warmth from one foe	draft	
43	ブフーラ	Bufula	冷気の力＠が敵１体を襲い、氷結させる	The power of cold＠ strikes one foe and freezes it	draft	
44	ブフラオン	Bufulaon	強い冷気の力＠を敵１体に集中させ、氷結させる	Strong cold＠ is focused on one foe and freezes it	draft	
45	ブフダイオン	Bufudyne	超強烈な冷気＠を敵１体に集中させ、一気に凍結させる	Fierce cold＠ is focused on one foe and freezes it solid	draft	
46	マハーブフ	Maha Bufu	拡散する冷気＠で複数の敵に氷結攻撃をかける	A spreading chill＠ freezes several foes	draft	
47	マハブフーラ	Maha Bufula	一帯を包み込む冷気＠が、複数の敵を氷結させる	An enveloping cold＠ freezes several foes	draft	
48	マハブフラオン	Maha Bufulaon	全体を襲う猛烈な冷気＠が、敵を氷結させる	A fierce all-out cold＠ freezes the foes	draft	
49	ハリハラ	Harihara	邪悪な存在にダメージ＠を与える聖なる力	A holy power＠ that damages evil beings	draft	
50	ハンマ	Hama	邪悪な存在を破壊する＠聖なる力	A holy power＠ that destroys evil beings	draft	
51	マハンマ	Mahama	多くの邪悪な存在を破壊する＠聖なる強い力	A strong holy power＠ that destroys many evil beings	draft	
52	メギ	Megi	神の力＠によって１体の敵に天罰を下す	Divine power＠ brings judgment down on one foe	draft	
53	メギド	Megido	より広い範囲に及ぶ神の力＠で、多くの敵に天罰を下す	Wider divine power＠ brings judgment on many foes	draft	
54	メギドラオン	Megidolaon	絶対的な神の力＠により、多くの敵に大いなる天罰を下す	Absolute divine power＠ brings great judgment on many foes	draft	
55	エリコ	Jericho	あまねく強い神の力＠により、すべての敵に天罰を与える	Universal divine power＠ brings judgment on every foe	draft	
56	デムドエル	Demudoel	聖相性の魔法を無効にする＠暗黒結界	A dark barrier＠ that nullifies holy magic	draft	
57	ハピルマ	Hapirma	幸せにする魔法	Magic that brings joy	draft	
58	プリンパ	Pulinpa	混乱させる魔法	Magic that causes chaos	draft	
59	ドルミナー	Dormina	複数の敵を眠らせる	Puts several foes to sleep	draft	
60	ドルミン	Dormin	敵１体を眠らせる	Puts one foe to sleep	draft	
61	マリンカリン	Marin Karin	魅了する魔法	Magic that charms	draft	
62	マカトランダ	Makatoranda	ＭＰを奪う魔法	Magic that drains MP	draft	
63	マカジャマ	Makajama	魔法を封じる	Seals magic	draft	
64	シバブー	Shibaboo	金縛りにする	Binds the target	draft	
65	マシバーハ	Mashibaha	多くを金縛りにする	Binds many	draft	
66	イルモラ	Ilmora	敵を幻覚に捉える	Traps a foe in illusion	draft	
67	ベリアー	Berial	ＨＰを奪い、ＭＰに変える	Drains HP, turns it to MP	draft	
68	タラフー	Tarafoo	恐怖とダメージを与える	Inflicts fear and damage	draft	
69	テンタラフー	Tentarafoo	大勢に恐怖とダメージ＠を与える	Fear and damage＠ to many	draft	
70	ムド	Mudo	敵１体に呪殺をかける	Curses one foe to death	draft	
71	ムドオン	Mudoon	複数の敵を一度に呪殺する	Death-curses several foes	draft	
72	ムズス	Muzus	呪いとダメージを与える	Inflicts curse and damage	draft	
73	ムズダム	Muzudam	大勢に呪いとダメージ＠を与える	Curse and damage＠ to many	draft	
74	ダラピス	Darapis	敵１体を石化させる	Turns one foe to stone	draft	
75	デサマン	Desaman	悪魔を退去させる	Drives a demon away	draft	
76	マハデサマン	Maha Desaman	悪魔を一斉に退去	Drives all demons away	draft	
77	テトラザン	Tetrazan	風の結界＠を作り、射撃系の攻撃を無効にする	A barrier of wind＠ that nullifies ranged attacks	draft	
78	トランジオ	Toranzio	場の電撃魔法を無効化＠する	Nullifies＠ electric magic on the field	draft	
79	タルンダ	Tarunda	敵の攻撃力を下げる	Lowers a foe's attack	draft	
80	スクンダ	Sukunda	敵の命中度を下げる	Lowers a foe's accuracy	draft	
81	ラクンダ	Rakunda	敵の防御力を下げる	Lowers a foe's defense	draft	
82	マカンダ	Makanda	敵の魔法力を下げる	Lowers a foe's magic	draft	
83	タルカジャ	Tarukaja	攻撃力を上げる	Raises attack	draft	
84	スクカジャ	Sukukaja	命中度を上げる	Raises accuracy	draft	
85	ラクカジャ	Rakukaja	防御力を上げる	Raises defense	draft	
86	マカカジャ	Makakaja	魔法の力を上昇させる	Raises magical power	draft	
87	マホロギ	Mahorogi	個人的な魔法の無効化＠する。一切の魔法を使えず、そして無効化する結界	A personal null-magic ward＠ -- no magic can be used, and none takes hold	draft	
88	デカジャ	Dekaja	カジャとンダを無効化＠にする結界破壊を全体にかける。	Cancels kaja and nda＠ on everyone, breaking the wards	draft	
89	テトラジャ	Tetraja	黒魔術，呪い系魔法の無効化＠する大結界を全体にかける	A great ward＠ nullifying black and curse magic for all	draft	
90	テトラ	Tetra	一切の攻撃を無効化＠する結界を１人にかける	A ward＠ nullifying every attack, on one ally	draft	
91	マカラカーン	Makarakarn	魔法攻撃を跳ね返す結界＠をひとりに作る	A ward reflecting magic＠ is set on one ally	draft	
92	テトラカーン	Tetrakarn	物理攻撃を跳ね返す結界＠をひとりに作る	A ward reflecting blows＠ is set on one ally	draft	
93	ノエルエム	Noeruem	暗黒に閉ざし、盲目にする＠	Blinds＠ by shrouding in dark	draft	
94	イルク	Ilk	透明になる＠ため、攻撃が当たりにくい	Turn invisible＠, so attacks rarely land	draft	
95	イルシオ	Ilusio	自分の幻を作り出す＠ことで、敵に幻を攻撃させる	Creates a self-illusion＠ for foes to attack	draft	
96	マハプリンパ	Maha Pulinpa	多くの敵を混乱させる	Confuses many foes	draft	
97	デイル	Deil	すべての幻覚を消し去る	Dispels every illusion	draft	
98	マグラ	Magura	ブラックホールを出現＠させ、飛び道具や魔法を無効化する	Opens a black hole＠ that nullifies missiles and magic	draft	
99	ディ	Di	ひとりを少し回復させる	Heals one ally a little	draft	
100	ディア	Dia	ひとりを回復させる	Heals one ally	draft	
101	ディアラマ	Diarama	ひとりをかなり回復させる	Heals one ally greatly	draft	
102	ディアラハン	Diarahan	ひとりを完全に回復せる	Fully heals one ally	draft	
103	ディマール	Dimar	回復と治癒の魔法＠で、精神系、毒、麻痺、気絶を治癒し、ＨＰを回復させる	Healing and curing magic＠ -- mends mind, poison, palsy and faint, and restores HP	draft	
104	メディ	Medi	全員のＨＰを少し回復させる	Heals all allies a little	draft	
105	メディア	Media	全員のＨＰを回復させる	Heals all allies' HP	draft	
106	メディアラマ	Mediarama	全員のＨＰをかなり回復＠させる	Heals all allies greatly	draft	
107	メディアラハン	Mediarahan	全員のＨＰを完全に回復＠させる	Fully heals all allies	draft	
108	ポズムディ	Posumudi	毒の症状を取り除く	Removes poison	draft	
109	パララディ	Paraladi	麻痺の症状を取り除く	Removes palsy	draft	
110	ペトラディ	Petradi	石化した者を救う	Saves one turned to stone	draft	
111	カトラディ	Katradi	あらゆる呪いから解放する	Frees from every curse	draft	
112	リカーム	Recarm	瀕死の者を蘇らせる	Revives the near-dead	draft	
113	サマリカーム	Samarecarm	死の淵より救い上げる	Pulls one back from death	draft	
114	リカームドラ	Recarmdra	術者の魂を以て敵を呪殺する	Slays foes＠ with the caster's own soul	draft	
115	パトラ	Patra	ひとりを正気に戻す	Restores one to sanity	draft	
116	ペンパトラ	Penpatra	全員を正気に戻す	Restores all to sanity	draft	
117	マカトラ	Makatra	魔法力を別の者に譲り与える	Gives magic power away＠ to another ally	draft	
118	デクロス	Decross	封じられた魔力を開放する	Frees sealed magic power	draft	
119	デシバブー	Deshibaboo	金縛りより開放する	Frees from binding	draft	
120	エストマ	Estoma	悪魔に気がつかれなくなる	Demons stop noticing you	draft	
121	トラエスト	Traesto	迷宮の入口に瞬間移動する	Warps to the maze entrance	draft	
122	トラポート	Traport	ターミナルに瞬間移動する	Warps to a Terminal	draft	
123	トラフーリ	Trafuri	戦場より離脱する	Escapes the battlefield	draft	
124	サマパトラ	Samapatra	凍結，炎上，感電，窒息，石化，毒，麻痺の回復	Cures freeze, burn, shock＠, choke, stone, poison and palsy	draft	
125	サバトマ	Sabbatma	悪魔を１体召喚する	Summons one demon	draft	
126	エルボースマッシュ	Elbow Smash	ひじ鉄	An elbow	draft	
127	ニーキック	Knee Kick	膝げり	A knee kick	draft	
128	ファーント	Feint	突きの攻撃	A thrusting attack	draft	
129	ダブルアタック	Double Attack	２回攻撃の技	A two-hit technique	draft	
130	ディザーム	Disarm	敵の武器を払い落す	Knocks a foe's weapon away	draft	
131	ロッククラッシャー	Rock Crusher	岩も割ろうかという激しい一撃	A blow fierce enough＠ to split a boulder	draft	
132	ブレイドストーム	Blade Storm	何度も断ち切り、複数のダメージを与える荒技	A wild art that cuts＠ again and again for several hits	draft	
133	トリプルアタック	Triple Attack	３度切りかかる太刀の形	A sword form striking＠ three times	draft	
134	グランドクロス	Grand Cross	十字に大きく切り付け、大きなダメージを与える	A great cross-slash＠ dealing heavy damage	draft	
135	ファイナルジャッジ	Final Judge	とどめの一撃を打つべく繰り出される必殺剣	A killing sword＠ drawn to land the final blow	draft	
136	幸せの歌	Song of Joy	皆をハッピーにする歌	A song to make all happy	draft	
137	狂った歌	Mad Song	皆を混乱させる狂気の歌	A mad song, confusing all	draft	
138	子守り歌	Lullaby	皆を安らかな眠りに誘う歌	A song of peaceful sleep	draft	
139	破壊の歌	Song of Ruin	聴くに耐えない、絶妙に音を外しまくった歌	A song so off-key＠ it cannot be endured	draft	
140	魅惑の歌	Charm Song	皆を魅了して止まない魅惑の歌	A song that charms all＠ without fail	draft	
141	炎の壁	Wall of Flame	炎の結界で、氷結攻撃を無効にする	A wall of flame＠ that nullifies ice attacks	draft	
142	ファイアブレス	Fire Breath	炎の息を吐く	Breathes fire	draft	
143	火だるま	Ablaze	自ら炎上し、体当たりする	Bursts alight and charges	draft	
144	ブレイズブレス	Blaze Breath	猛烈な炎の息を吐く	Breathes fierce fire	draft	
145	円月殺法	Full Moon Cut	剣を回転させて、複数のダメージを与える	A spinning sword＠ dealing several hits	draft	
146	飛燕の剣	Swallow Blade	素早い動きにより、遠距離への攻撃を可能とする	Swift movement＠ that lets the blade reach distant foes	draft	
147	剣の舞	Sword Dance	舞を舞うかのような華麗な剣の連続攻撃	A dance-like flourish＠ of sword strikes	draft	
148	朧の太刀	Hazy Blade	剣の幻妙な動きが、混乱を与える	The blade's eerie motion＠ sows confusion	draft	
149	燕返し	Swallow Cut	切り上げ、返す刀での連続攻撃で、２回のダメージを与える	An upward cut and return＠ striking twice	draft	
150	武者車	Warrior Wheel	高速回転しながら敵に何度も切りかかるが、自分の消耗も激しい	Spins and cuts again and＠ again, at heavy cost to the user	draft	
151	両刃切り	Double Edge	敵に大ダメージを与えると同時に、自分も傷つく	Deals heavy damage＠, and wounds the user too	draft	
152	睡夢剣	Dream Blade	その太刀の動きにより、敵を睡魔に誘い、その隙に切り込む	The blade lulls a foe＠ to sleep, then cuts into the gap	draft	
153	真空切り	Vacuum Cut	剣に気を込め、風を刃と化して複数の離れた敵を攻撃する	Ki turns wind to a blade＠ and strikes distant foes	draft	
154	必殺兜割り	Helm Splitter	渾身の力を込めた、強烈な振り降ろしの一撃	A downward blow＠ with all the user's strength	draft	
155	霊すすりの太刀	Soul Drain	剣に呪を掛け、敵の血からＨＰを吸い取る	A cursed blade＠ that drains HP from a foe's blood	draft	
156	臥竜刹	Coiled Dragon	伏したる竜の飛び上がるごとく気が篭る太刀	A blade of ki＠ like a crouched dragon leaping up	draft	
157	飛竜刹	Flying Dragon	飛びたる竜の地を襲うごとく気が篭る太刀	A blade of ki＠ like a flying dragon striking earth	draft	
158	バーニンガー	Burninger	炎のエレメンタルを叩きつける	Hurls a fire elemental	draft	
159	エレキンガー	Elekinger	雷のエレメンタルを叩きつける	Hurls a thunder elemental	draft	
160	マイティクイット	Mighty Quit	悪魔を退去させる	Drives a demon away	draft	
161	フローズナー	Frozener	氷のエレメンタルを叩きつける	Hurls an ice elemental	draft	
162	ホリーライツ	Holy Lights	聖なるエレメンタルを叩きつける	Hurls a holy elemental	draft	
163	ダークサイダー	Dark Sider	暗黒のエレメンタルを叩きつける	Hurls a dark elemental	draft	
164	デビルマスター	Devil Master	悪魔を魅了する。	Charms a demon.	draft	
165	デビルイレース	Devil Erase	悪魔をこの世から消し去る	Erases a demon＠ from this world	draft	
166	デスタッチ	Death Touch	接触によるＨＰの吸引	Drains HP by touch	draft	
167	イビルアイズ	Evil Eyes	眼光の呪いで攻撃、混乱させる	A cursed glare＠ that attacks and confuses	draft	
168	グラムアイズ	Glam Eyes	眼光の呪いで魅了する	A cursed glare that charms	draft	
169	呪いの言葉	Words of Curse	恐ろしい呪いの言葉を吐き、敵全体を恐慌に陥れる	Words of dread curse＠ throw every foe into panic	draft	
170	汚し言	Foul Words	神を汚す言葉＠により、ＭＰにダメージを与えるばかりか、精神に混乱を引き起こす。	Words that defile god＠ damage MP and throw the mind into confusion.	draft	
171	アイフォース	Eye Force	眼光の呪いで攻撃、混乱させる	A cursed glare＠ that attacks and confuses	draft	
172	嘲笑	Sneer	不気味な笑いにより、バッドハイにする	An eerie laugh＠ that brings on a bad high	draft	
173	ポゼッション	Possession	相手に憑依し、コントロールする	Possesses a foe＠ and takes control	draft	
174	デスハンド	Death Hand	接触によるＨＰの大量吸引	Drains much HP by touch	draft	
175	パララアイ	Paral Eye	眼光の呪いで麻痺を引き起こす	A cursed glare＠ that causes palsy	draft	
176	不気味な手かざし	Eerie Gesture	手かざしにより、ＭＰを吸い取る	A raised hand＠ drains MP away	draft	
177	ヴァンプ	Vamp	吸血によるＨＰの大量吸引	Drains much HP by blood	draft	
178	悪魔のキス	Devil's Kiss	口づけにより、経験値を奪う	A kiss that steals＠ experience	draft	
179	悪魔のキス	Devil's Kiss	口づけにより、経験値を奪う	A kiss that steals＠ experience	draft	
180	ペトラアイ	Petra Eye	眼光の呪いで石化させる	A cursed glare＠ that turns to stone	draft	
181	デビルスマイル	Devil Smile	不気味な微笑みで、経験値を奪う	An eerie smile＠ steals experience	draft	
182	死の吸引	Death Drain	ＨＰの遠隔大量吸引	Drains much HP at range	draft	
183	唸る	Growl	唸り声で威嚇し、恐慌にする	A growl＠ that threatens and panics	draft	
184	咬みつき	Bite	咬みついて、手痛いダメージを与える	A bite＠ that deals painful damage	draft	
185	ひっかき	Scratch	爪による攻撃	An attack with claws	draft	
186	体当たり	Tackle	捨て身の体当たり攻撃	A reckless body charge	draft	
187	キーイング	Keening	恐ろしい咆哮で、敵全体を恐慌にする	A dread roar＠ that panics every foe	draft	
188	ハウリング	Howling	恐ろしい咆哮で、敵全体を金縛りにする	A dread roar＠ that binds every foe	draft	
189	必殺技	Deathblow	個々に編み出した必殺技	A deathblow of one's own	draft	
190	目つぶし	Blinding	目に砂をかけて見えなくさせる	Throws sand＠ into the eyes to blind	draft	
191	毒針	Poison Needle	毒の含まれた針を発射する	Fires a poisoned needle	draft	
192	つくも針	Tsukumo Needle	無数の針を発射する	Fires countless needles	draft	
193	麻痺針	Palsy Needle	麻痺性の毒を含ませた針を発射する	Fires a palsy needle	draft	
194	電撃	Shock	放電攻撃	A discharge attack	draft	
195	水の壁	Wall of Water	水の結界で、炎攻撃を無効にする	A wall of water＠ that nullifies fire attacks	draft	
196	守る	Guard	味方ひとりの防御力を上げる	Raises one ally's defense	draft	
197	盾	Shield	味方二人の防御力を上げる	Raises two allies' defense	draft	
198	薙ぎ払い	Sweep	大振りの薙ぎ払い＠で、敵４体にヒットする。	A wide sweep＠ that hits four foes.	draft	
199	カウンタアタック	Counterattack	剣攻撃に対して、反撃体勢を取る	Takes a stance＠ to counter sword attacks	draft	
200	切り込み	Slash In	捨て身の攻撃	A reckless attack	draft	
201	回転切り	Spin Cut	剣を回転させて、複数のヒットを狙う	A spinning sword＠ seeking several hits	draft	
202	パニックボイス	Panic Voice	狂った叫びで敵全体の混乱を誘う	A mad cry＠ that confuses every foe	draft	
203	バーサーキング	Berserking	自ら狂戦士化する	Turns berserk	draft	
204	地獄突き	Hell Thrust	強烈な頭突き攻撃	A fierce head-butt	draft	
205	押しつぶし	Crush	巨体を活かして敵を押し潰す	Crushes a foe＠ with sheer bulk	draft	
206	暴れまわり	Rampage	敵に飛び込み、むちゃくちゃに暴れる	Leaps in＠ and rampages wildly	draft	
207	テール	Tail	尾のなぎ払い攻撃	A sweeping tail attack	draft	
208	鉤爪	Talon	鋭い鉤爪によるダブルアタック	A double attack＠ with sharp talons	draft	
209	羽ばたき	Flap	強烈な羽ばたきによる風の攻撃	A wind attack＠ from strong wingbeats	draft	
210	大羽ばたき	Great Flap	猛烈な羽ばたきによる風の攻撃	A wind attack＠ from fierce wingbeats	draft	
211	ネコパンチ	Cat Punch	手首のスナップを効かせたネコ連打	A flurry of cat blows＠ with a snap of the wrist	draft	
212	ネコキック	Cat Kick	ひっくり返ってネコ連続キック	Rolls over＠ into a flurry of cat kicks	draft	
213	手刀	Hand Blade	渾身の空手チョップ	A full-force karate chop	draft	
214	掌底	Palm Strike	手のひらの付け根で敵を打つ	Strikes with the palm heel	draft	
215	息長法	Breath Control	気孔法に似た、ＨＰ回復の技法	An art of restoring HP＠, akin to kikou	draft	
216	六破羅	Rokuhara	張り手の連続攻撃	A flurry of open palms	draft	
217	烈魄斬鬼	Soul Render	気合の一撃で、離れた敵をも攻撃＠でき、ときに気絶させる	A shout-driven blow＠ that reaches distant foes, sometimes stunning	draft	
218	影縛り	Shadow Bind	敵の影に楔を打ち込むことで、動けなくする呪法	A rite pinning the shadow＠ so the foe cannot move	draft	
219	影切り	Shadow Cut	敵の影に切り付け、ＭＰにダメージを与える	Cuts a foe's shadow＠ and damages MP	draft	
220	陰滅波	Yin Wave	陰の気を込めて、離れた敵を打つ	Strikes distant foes＠ with yin ki	draft	
221	陽斬波	Yang Wave	陽の気を込めて、離れた敵を打つ	Strikes distant foes＠ with yang ki	draft	
222	甘い息	Sweet Breath	有毒な酒気を帯びた息で、相手を酔わせる	A breath of poison fumes＠ that leaves the foe drunk	draft	
223	毒咬みつき	Poison Bite	咬みついて、毒にかからせる	A bite＠ that poisons	draft	
224	フォッグブレス	Fog Breath	霧を吐いて、見えなくする	Breathes fog＠ to blind	draft	
225	毒ひっかき	Poison Scratch	爪による毒にかからせる攻撃	A claw attack＠ that poisons	draft	
226	麻痺咬みつき	Palsy Bite	咬みついて、麻痺にかからせる	A bite＠ that causes palsy	draft	
227	ポイズンブレス	Poison Breath	毒を含んだ息を吐く	Breathes poisoned air	draft	
228	麻痺ひっかき	Palsy Scratch	爪による麻痺にかからせる攻撃	A claw attack＠ that causes palsy	draft	
229	石化咬みつき	Stone Bite	咬みついて、石化させる	A bite＠ that turns to stone	draft	
230	フリーズガス	Freeze Gas	超低音のガスの噴出	A jet of freezing gas	draft	
231	アイスブレス	Ice Breath	氷結させる息を吐く	Breathes freezing air	draft	
232	ハッピーステップ	Happy Step	楽しげなダンスで皆をハッピーにする	A merry dance＠ that makes all happy	draft	
233	ダンスダンス	Dance Dance	躍動的なダンスで皆を引き込む	A lively dance＠ that draws all in	draft	
234	フェアリーボルト	Fairy Bolt	気を小石大に凝縮して、相手にぶつける	Ki condensed to a pebble＠ and hurled at the foe	draft	
235	セクシーダンス	Sexy Dance	悩ましげなダンスで多くを魅了する	A sultry dance＠ that charms many	draft	
236	ダンスマカブル	Danse Macabre	狂おしいダンスで敵を死に陥れる	A maddening dance＠ that dances foes to death	draft	
237	うろうろする	Wander	うろうろあるきまわる	Wanders about	draft	
238	警告	Warning	警告を発する	Gives a warning	draft	
239	瞬間移動	Teleport	瞬時に逃げ出すことが出来る	Lets you flee at once	draft	
240	逃げる	Flee	戦闘から離脱する	Withdraws from battle	draft	
241	仲魔を呼ぶ	Call Ally	仲魔を呼ぶ	Calls an ally demon	draft	
242	自爆	Self-Destruct	自爆して敵にダメージを与える	Self-destructs＠ to damage foes	draft	
243	分裂	Split	分裂して増える	Splits and multiplies	draft	
244	ノスフェラン	Nosferan	味方をゾンビ化させて、不死身の軍団で戦う	Turns allies to zombies＠ and fights as an undying host	draft	
245	エレキチャージ	Elec Charge	攻撃を仕掛けられると、電撃で反撃	Answers an attack＠ with a shock	draft	
246	スタンプ	Stomp	足跡に恐怖心を込める	Leaves fear in its tracks	draft	
247	ボンブ	Bomb	隠し持っていた手榴弾の攻撃	An attack＠ with a hidden grenade	draft	
248	ブレインシェイカー	Brain Shaker	精神攻撃によりＭＰにダメージを与える	A mental attack＠ that damages MP	draft	
249	糸	Thread	糸を放ち、相手を動けなくする	Casts a thread＠ so the foe cannot move	draft	
250	自己回復	Self-Heal	自動的な自己ＨＰの回復	Restores its own HP	draft	
251	餓鬼玉	Gaki Orb	餓鬼玉を敵に植えつけ、ＨＰを吸い取る	Plants a gaki orb＠ in a foe and drains HP	draft	
252	混乱する	Confuse	自ら混乱する	Confuses itself	draft	
253	悪魔の笑い	Devil's Laugh	不気味な笑いにより精神的ダメージを与え、ＭＰを吸い取る	An eerie laugh＠ wounds the mind and drains MP	draft	
254	うすら笑い	Faint Smile	特に無し	Nothing in particular	draft	
255	あくび	Yawn	特に無し	Nothing in particular	draft	
256	高笑い	Loud Laugh	特に無し	Nothing in particular	draft	
257	トルネード	Tornado	竜巻	A tornado	draft	
258	アクアカッター	Aqua Cutter	高速回転する水で敵を切る	Cuts foes＠ with fast-spinning water	draft	
259	ソニックアラーム	Sonic Alarm	全員を正気に戻す	Restores all to sanity	draft	
260	ムーンウィーパー	Moon Weeper	三日月をなぞるような太刀筋の素早い攻撃	A swift blade＠ tracing a crescent moon	draft	
261	炎の羽ばたき	Flame Flap	羽ばたきの烈風に火炎が逆巻く	Flame swirls＠ in the gale of its wings	draft	
262	魔矢	Magic Arrow	霊的に生成された魔矢	A spirit-made magic arrow	draft	
263	睡夢矢	Dream Arrow	霊的に生成され、深い眠りを導く魔矢	A spirit-made arrow＠ that brings deep sleep	draft	
264	火魔矢	Fire Arrow	霊的に生成された紅蓮の焔の矢	A spirit-made arrow＠ of crimson flame	draft	
265	破魔矢	Exorcism Arrow	霊的に生成された、聖なる矢	A spirit-made holy arrow	draft	
266	降魔矢	Demon Arrow	霊的に生成された強力な魔矢	A strong spirit-made arrow	draft	
267	咒言滅殺矢	Curse Arrow	必殺の呪いの込められた魔矢	An arrow＠ bearing a deadly curse	draft	
268	アローアモーレ	Arrow Amore	魅了の魔矢	An arrow of charm	draft	
269	目をつぶる	Close Eyes	特に無し	Nothing in particular	draft	
270	融合	Fusion	融合してＨＰ，ＭＰを増やす	Fuses to raise HP and MP	draft	
271	消える	Vanish	姿を消すため、攻撃が当たらない	Vanishes＠, so attacks cannot land	draft	
272	消化液	Digest Fluid	強酸の消化液によるＨＰの吸引	Drains HP＠ with strong digestive acid	draft	
273	ネクロマン	Necroman	ゾンビの呪いをかける	Lays a zombie curse	draft	
274	ゾンビバイツ	Zombie Bites	咬みついて、ゾンビ毒に冒す	A bite＠ that spreads zombie venom	draft	
275	バブルアワー	Bubble Hour	魔法の泡により幻を見せ、ＨＰを奪う	Magic bubbles＠ show illusions and drain HP	draft	
276	ポイズンガス	Poison Gas	毒ガスの噴出	A jet of poison gas	draft	
277	行動予知	Foresight	回避が高まる	Raises evasion	draft	
