# Giten district names (et/ET000D.BIN container 1) -- the location strip
# Edit the 'en' column.  Leave it empty to keep the Japanese.
# Budget 12 half-width cells; see giten/districts.py for why that is conservative.
index	jp	en	status	note
92	大京町	Daikyocho		
93	左門町	Samoncho		
94	一番町	Ichibancho		
95	二番町	Nibancho		
96	三番町	Sanbancho		
97	四番町	Yonbancho		
98	五番町	Gobancho		
99	三栄町	Saneicho		
100	本塩町	Honshiocho		
101	若葉町	Wakabacho		
102	大手町	Otemachi		
103	日本橋	Nihonbashi		
104	柳橋	Yanagibashi		
105	横綱	Yokozuna		
106	東日本橋	E.Nihonbashi		
107	両国橋	Ryogokubashi		
108	両国	Ryogoku		
109	緑町	Midoricho		
110	千歳	Chitose		
111	立川	Tachikawa		
112	新大橋	Shinohashi		
113	森下	Morishita		
114	銀座	Ginza		
115	初台	Hatsudai		
116	明治神宮	Meiji Shrine		
117	西原	Nishihara		
118	信濃町	Shinanomachi		
119	霞岳町	Kasumigaoka		
120	赤坂	Akasaka		
121	元赤坂	Motoakasaka		
122	神宮前	Jingumae		
123	北青山	N.Aoyama		
124	南青山	S.Aoyama		
125	青山霊園	Aoyama Cem.		
126	小島	Kojima		
127	麹町	Kojimachi		
128	若葉	Wakaba		
129	紀尾井町	Kioicho		
130	平河町	Hirakawacho		
131	隼町	Hayabusacho		
132	永田町	Nagatacho		
133	南元町	Minamimoto		
134	秋葉原	Akihabara		
135	皇居外苑	Palace Gdns		
136	丸の内	Marunouchi		
137	霞が関	Kasumigaseki		
138	日比谷	Hibiya		
139	有楽町	Yurakucho		
140	兜町	Kabutocho		
141	箱崎	Hakozaki		
142	八重洲	Yaesu		
143	茅場町	Kayabacho		
144	京橋	Kyobashi		
145	八丁堀	Hatchobori		
146	新川	Shinkawa		
147	蠣殻町	Kakigaracho		
148	清澄	Kiyosumi		
149	白河	Shirakawa		
150	三好	Miyoshi		
151	福住	Fukuzumi		
152	深川	Fukagawa		
153	木端	Kohashi		
154	上原	Uehara		
155	富ヶ谷	Tomigaya		
156	神南	Jinnan		
157	内幸町	Uchisaiwai		
158	虎ノ門	Toranomon		
159	新橋	Shinbashi		
160	西新橋	W.Shinbashi		
161	東新橋	E.Shinbashi		
162	築地	Tsukiji		
163	愛宕	Atago		
164	新富町	Shintomicho		
165	明石町	Akashicho		
166	月島	Tsukishima		
167	門前仲町	Monzennaka		
168	冬木	Fuyuki		
169	越中島	Etchujima		
170	富岡	Tomioka		
171	古石場	Furuishiba		
172	塩浜	Shiohama		
173	駒場	Komaba		
174	松涛	Shoto		
175	宇田川	Udagawa		
176	渋谷	Shibuya		
177	道玄坂	Dogenzaka		
178	神泉	Shinsen		
179	桜丘町	Sakuragaoka		
180	大橋	Ohashi		
181	青葉台	Aobadai		
182	南平台町	Nanpeidai		
183	西麻布	W.Azabu		
184	元麻布	Motoazabu		
185	麻布台	Azabudai		
186	麻布十番	Azabujuban		
187	南麻布	S.Azabu		
188	東	Higashi		
189	広尾	Hiroo		
190	六本木	Roppongi		
191	芝公園	Shiba Park		
192	芝大門	Shibadaimon		
193	芝	Shiba		
194	芝浦	Shibaura		
195	三田	Mita		
196	勝どき	Kachidoki		
197	晴海	Harumi		
198	豊洲	Toyosu		
199	東山	Higashiyama		
200	猿楽町	Sarugakucho		
201	祐天寺	Yutenji		
202	目黒	Meguro		
203	上目黒	Kamimeguro		
204	中目黒	Nakameguro		
205	下目黒	Shimomeguro		
206	恵比寿	Ebisu		
207	白金	Shirokane		
208	白金台	Shirokanedai		
209	高輪	Takanawa		
210	海岸	Kaigan		
211	東雲	Shinonome		
212	有明	Ariake		
213	上大崎	Kamiosaki		
214	東五反田	E.Gotanda		
215	港南	Konan		
216	北品川	N.Shinagawa		
217	代々木公園	Yoyogi Park		
218	新宿爆心地	Ground Zero		
219	北の丸公園	Kitanomaru		
220	日比谷公園	Hibiya Park		
